Input, OSD0, OSD1, OSD2
1277,28,43,0
1278,30,117,44
1279,39,15,123
1280,14,4,43
1281,96,72,43
1282,113,2,86
1283,13,121,69
1284,105,10,79
1285,88,33,8
1286,15,17,24
1287,84,33,100
1288,112,68,107
1289,85,50,90
1290,114,124,48
1291,118,94,24
1292,36,20,87
1293,6,48,121
1294,2,83,14
1295,2,48,124
1296,65,78,100
1297,48,15,27
1298,37,81,28
1299,114,46,106
1300,98,121,26
1301,115,40,53
1302,127,56,10
1303,84,33,70
1304,118,103,90
1305,27,73,71
1306,7,117,85
1307,6,39,58
1308,90,109,6
1309,85,39,109
1310,96,68,119
1311,11,20,107
1312,22,63,86
1313,35,72,90
1314,93,26,16
1315,94,52,28
1316,50,30,66
1317,122,106,14
1318,6,93,28
1319,99,2,78
1320,3,105,49
1321,66,25,123
1322,62,19,32
1323,38,59,52
1324,95,117,105
1325,59,0,44
1326,44,8,0
1327,83,118,105
1328,58,104,3
1329,74,44,117
1330,5,109,84
1331,82,58,30
1332,8,37,58
1333,58,71,111
1334,60,126,79
1335,7,117,83
1336,60,18,27
1337,79,54,3
1338,114,43,95
1339,20,115,75
1340,37,46,86
1341,65,115,77
1342,44,11,28
1343,58,116,22
1344,13,31,88
1345,37,93,58
1346,2,32,41
1347,9,104,113
1348,78,53,124
1349,91,67,98
1350,60,111,25
1351,38,31,113
1352,110,87,96
1353,63,35,44
1354,1,20,97
1355,66,110,24
1356,41,20,115
1357,27,127,69
1358,36,118,22
1359,51,70,79
1360,53,64,89
1361,37,87,4
1362,10,69,3
1363,45,78,14
1364,71,22,80
1365,117,40,51
1366,117,45,23
1367,64,72,81
1368,43,12,75
1369,36,68,56
1370,118,73,125
1371,95,110,100
1372,17,38,63
1373,114,68,14
1374,34,42,98
1375,1,11,123
1376,69,8,46
1377,53,78,14
1378,7,25,47
1379,23,14,93
1380,99,92,74
1381,29,75,113
1382,28,81,53
1383,124,27,71
1384,65,30,20
1385,9,5,20
1386,93,79,81
1387,103,123,66
1388,68,106,9
1389,84,118,56
1390,92,49,80
1391,70,80,122
1392,76,100,13
1393,102,123,57
1394,97,66,43
1395,38,53,6
1396,125,86,98
1397,30,91,97
1398,30,39,40
1399,85,75,101
1400,73,15,2
1401,29,65,21
1402,25,9,63
1403,74,32,43
1404,93,24,6
1405,85,49,2
1406,13,94,86
1407,92,122,29
1408,62,35,86
1409,80,55,74
1410,90,105,76
1411,61,105,92
1412,2,44,79
1413,88,101,84
1414,119,125,102
1415,9,72,34
1416,57,53,71
1417,28,3,33
1418,27,20,105
1419,1,44,36
1420,50,30,12
1421,54,69,98
1422,57,41,21
1423,21,28,67
1424,71,2,20
1425,52,108,97
1426,13,125,54
1427,45,39,96
1428,78,0,96
1429,25,87,70
1430,68,95,51
1431,84,55,21
1432,59,88,79
1433,28,102,89
1434,15,70,23
1435,16,65,123
1436,114,44,15
1437,120,104,11
1438,100,124,110
1439,47,35,90
1440,95,20,126
1441,115,94,8
1442,89,103,65
1443,108,95,122
1444,116,67,11
1445,122,34,30
1446,9,103,109
1447,34,6,23
1448,125,15,1
1449,31,99,10
1450,101,16,0
1451,4,30,18
1452,123,56,74
1453,42,14,125
1454,56,32,9
1455,82,89,112
1456,81,89,125
1457,51,110,85
1458,69,51,92
1459,20,12,121
1460,97,69,107
1461,29,51,111
1462,91,7,108
1463,54,43,18
1464,102,22,68
1465,114,78,12
1466,81,9,34
1467,69,3,104
1468,46,24,33
1469,62,27,6
1470,10,115,98
1471,39,62,77
1472,17,13,64
1473,102,91,13
1474,44,32,116
1475,15,22,4
1476,0,117,29
1477,116,120,96
1478,85,66,24
1479,21,81,58
1480,83,68,100
1481,39,51,40
1482,11,80,46
1483,53,59,30
1484,122,5,109
1485,50,38,116
1486,54,118,46
1487,4,98,56
1488,92,87,60
1489,110,62,71
1490,40,80,120
1491,5,78,58
1492,121,108,62
1493,64,127,103
1494,68,48,9
1495,28,16,70
1496,24,7,109
1497,72,116,46
1498,73,59,94
1499,7,34,124
1500,113,59,90
1501,7,37,41
1502,4,40,26
1503,60,40,74
1504,1,126,41
1505,109,126,59
1506,109,86,40
1507,100,64,85
1508,40,85,21
1509,17,25,2
1510,90,112,125
1511,81,103,4
1512,26,41,124
1513,119,106,18
1514,7,124,99
1515,120,19,115
1516,89,74,51
1517,6,106,9
1518,118,1,31
1519,76,15,121
1520,92,11,67
1521,62,113,2
1522,0,25,11
1523,24,61,13
1524,108,55,18
1525,54,103,86
1526,50,72,88
1527,113,86,102
1528,71,21,102
1529,85,74,61
1530,83,46,32
1531,35,21,114
1532,84,12,38
1533,50,45,77
1534,113,104,29
1535,62,41,85
1536,2,108,119
1537,55,59,44
1538,127,7,103
1539,66,81,6
1540,66,53,57
1541,96,9,23
1542,74,40,114
1543,17,89,104
1544,122,25,15
1545,9,57,85
1546,28,17,70
1547,71,2,35
1548,127,80,61
1549,78,118,42
1550,11,85,31
1551,117,34,41
1552,38,75,120
1553,4,82,69
1554,82,126,60
1555,19,35,84
1556,1,113,94
1557,4,15,31
1558,105,94,98
1559,106,26,79
1560,29,33,68
1561,90,79,52
1562,37,72,116
1563,9,4,112
1564,56,116,124
1565,98,71,53
1566,108,125,5
1567,79,2,13
1568,105,57,51
1569,20,81,79
1570,22,38,76
1571,93,38,59
1572,74,30,116
1573,18,97,78
1574,3,9,103
1575,65,48,100
1576,46,17,104
1577,82,45,77
1578,121,107,118
1579,83,96,71
1580,25,104,125
1581,120,21,37
1582,81,28,37
1583,43,112,127
1584,12,95,50
1585,34,114,108
1586,92,14,38
1587,61,45,115
1588,78,28,35
1589,46,83,118
1590,48,118,90
1591,67,81,7
